FID	Number_of	Bee_Family	Bee_Genus	Subgenus	Species	Subspecies	Location_D	Date	Floral_Hos
9902	8	Apidae	Diadasia	 	diminuta	 	Henrieville Spring, 1.06 mi WSW	25-Jun-01	Helianthus annuus
9904	4	Apidae	Diadasia	 	diminuta	 	Hwy 12, 1.0 mi W Henrieville Spring	25-Jun-01	Helianthus annuus
9905	5	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	24-Sep-03	Chrysothamnus greenei
9906	6	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	5-Sep-03	Chrysothamnus greenei
9907	1	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	15-Sep-03	No Floral Record
9908	5	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	20-Aug-03	No Floral Record
9909	10	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	24-Sep-03	No Floral Record
9910	6	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	5-Aug-03	No Floral Record
9911	53	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	5-Sep-03	No Floral Record
9912	3	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	9-Jun-03	No Floral Record
9913	4	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	20-Aug-03	Oenothera sp.
9914	1	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	5-Sep-03	Oenothera sp.
9915	1	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	11-Jun-02	Senecio multilobatus
9916	2	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	5-Sep-03	Senecio spartioides
9917	1	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	11-Jun-02	Sphaeralcea grossulariifolia
9918	4	Apidae	Diadasia	 	diminuta	 	Jody's Knoll, 1.0 mi SSW	5-Sep-03	Sphaeralcea sp.
9919	2	Apidae	Diadasia	 	diminuta	 	Johnson Cyn, 1.81 mi NNW jct. Skutumpah Cyn.	24-Sep-03	No Floral Record
9920	10	Apidae	Diadasia	 	diminuta	 	Kitchen Corral Pt., 0.35 mi W	4-Sep-03	Gutierrezia sarothrae
9921	1	Apidae	Diadasia	 	diminuta	 	Kitchen Corral Pt., 0.35 mi W	4-Sep-03	Senecio sp.
9922	10	Apidae	Diadasia	 	diminuta	 	Kitchen Corral Pt., 0.35 mi W	4-Sep-03	Viguiera multiflora
9923	1	Apidae	Diadasia	 	diminuta	 	Kitchen Corral Spr., 1.0 mi N	4-Sep-03	No Floral Record
9924	1	Apidae	Diadasia	 	diminuta	 	Lake Pasture, 0.86 mi SW	29-Jun-01	Calochortus aureus
9925	1	Apidae	Diadasia	 	diminuta	 	Lampstand, 0.3 mi SE	25-May-00	Oenothera sp.
9926	1	Apidae	Diadasia	 	diminuta	 	Lampstand, 1 mi NW	19-Aug-03	No Floral Record
9927	47	Apidae	Diadasia	 	diminuta	 	Lampstand, 1.1 mi SE	19-Aug-03	No Floral Record
9928	2	Apidae	Diadasia	 	diminuta	 	Lampstand, 1.5 mi SE	19-Aug-03	No Floral Record
9929	1	Apidae	Diadasia	 	diminuta	 	Lampstand, 3.3 mi S	15-Sep-03	Sphaeralcea sp.
